text@evb1991m	@evb1991m	170.76	171.78	Фильм называется Высоцкий //
text@evb1991m	@evb1991m	172.17	174.86	А показывает какого-то наркомана // Безусловно / Высоцкий /
text@evb1991m	@evb1991m	175.78	176.38	Я в курсе //
text@evb1991m	@evb1991m	176.7	177.99	Но если ты называешь фильм /
text@evb1991m	@evb1991m	178.46	179.26	Высоцкий //
text@evb1991m	@evb1991m	180.965	181.305	#нрзб#
text@evb1991m	@evb1991m	181.96	183.47	Спасибо / что живой /
text@evb1991m	@evb1991m	183.88	185.82	Извини / что мёртвый // Без разницы как //
text@evb1991m	@evb1991m	186.34	188.63	Если ты называешь фильм Высоцкий или Сталинград /
text@evb1991m	@evb1991m	189.1	192.66	ты должен показывать Высоцкого или Сталинград // При слове Высоцкий /
text@evb1991m	@evb1991m	193.35	200.83	у меня нет ассоциаций / что он где-то долбит наркоту / а какие-то парни его обдуривают / Потом он с какой-то бабой тусит //
text@evb1991m	@evb1991m	201.15	203.31	Для меня Высоцкий не такой и опять же /
text@evb1991m	@evb1991m	210.94	211.31	Ага //
text@evb1991m	@evb1991m	213.43	213.55	Так //
text@evb1991m	@evb1991m	216.24	217.77	Безусловно // Ну / вот / я же про себя говорю //
text@evb1991m	@evb1991m	218.17	219.95	То есть моё мнение / что
text@evb1991m	@evb1991m	220.18	223.6	Если ты снимаешь фильм Высоцкий / называешь его Высоцкий / говоришь / что / вот / это /
text@evb1991m	@evb1991m	224.39	225.84	мы раскроем поэта //
text@evb1991m	@evb1991m	226.2	236.37	В продукт-плейсменте я опять же на того и так далее / показываете его наркоманом - это не раскрытие // Раскрытие - это покажи / покажите человека / который писал стихи / который пел песни //
text@evb1991m	@evb1991m	237.07	250.92	Почему тот  Высоцкий / который показан / кому-то вообще мог нравится // То / что лично творится у кого-то - это окей / его дело // Долбит он наркотики и долбит // Я люблю Высоцкого не за то / что он долбил где-то наркотики / а за то / что он писал замечательные песни //
text@evb1991m	@evb1991m	253.77	253.91	Да //
text@evb1991m	@evb1991m	259.77	263.77	Я не любил его в детстве / но потом / почитав много всяких книг //
text@evb1991m	@evb1991m	264.5	268.5	Я / я как бы слушаю музыку зачастую под какие-то книги //
text@evb1991m	@evb1991m	269.03	281.04	То есть под книги о Чеченской войне я слушал ДДТ // Книги про Великую Отечественную войну - я слушал Хворостовского и Высоцкого // Книги про Вьетнам - я слушал всю вьетнамскую музыку //
text@evb1991m	@evb1991m	281.63	315.001	То есть и когда я читал книги про Великую Отечественную / Высоцкого я слушал // И как-то вот приходит единение текста / которого вот читаешь / - какие-то там мемуары какого-то или докумантельное какое-нибудь описание процессов судебных над нацистами // И читая / ой / слушая Высоцкого про то / как там нацисты идут и за нами / э / перед нами всё растёт / за нами всё горит // Это как-то приходит воедино / и ты такой / ах / вот / про что он // Грубо говоря / пришло какое-то осознание текстов / но это лишь слова // Я не знаю / ну / понравился вот с этих вот времён // Я не знаю / как это //
words@yad1986m	@yad1986m	0.0	0.31	Разнёс
